,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01049,ESSENDON EAST KEILOR DISTRICT COLLEGE,G,ESSENDON - ABERFELDIE,183,161,122,39,8,22,12,9,7,2
01106,EUROA SECONDARY COLLEGE,G,EUROA,43,32,23,22,26,13,17,22,0,0
01004,FAIRHILLS HIGH SCHOOL,G,FERNTREE GULLY,150,143,81,30,4,23,11,26,4,2
01946,FCJ COLLEGE,C,BENALLA REGION,32,32,19,42,11,0,5,26,11,5
01310,FINTONA GIRLS' SCHOOL,I,BALWYN,52,44,27,96,0,4,0,0,0,0
01258,FIRBANK GRAMMAR SCHOOL,I,BRIGHTON (VIC.),123,91,51,82,6,8,2,2,0,0
01415,FITZROY HIGH SCHOOL,G,FITZROY NORTH,59,53,32,44,16,25,0,13,3,0
01680,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,SOMERVILLE,80,73,52,54,8,6,13,15,4,0
13488,FLINDERS CHRISTIAN COMMUNITY COLLEGE,I,CARRUM DOWNS,62,48,30,63,10,20,0,7,0,0
01648,FOOTSCRAY CITY COLLEGE,G,FOOTSCRAY,111,111,66,35,12,23,6,15,9,0
01398,FOREST HILL COLLEGE,G,BURWOOD EAST,107,96,72,39,3,35,10,8,6,0
01264,FOSTER SECONDARY COLLEGE,G,FOSTER,22,22,16,13,6,25,13,38,6,0
13440,FOUNTAIN GATE SECONDARY COLLEGE,G,NARRE WARREN,99,99,69,54,6,23,9,3,6,0
01061,FRANKSTON HIGH SCHOOL,G,FRANKSTON SOUTH,269,267,166,58,13,10,8,7,3,0
01276,GALEN CATHOLIC COLLEGE,C,WANGARATTA REGION,129,72,50,26,46,4,6,16,0,2
01206,GENAZZANO FCJ COLLEGE,C,KEW,133,121,78,83,5,6,4,1,0,0
01309,GILMORE COLLEGE FOR GIRLS,G,FOOTSCRAY,31,25,17,29,18,41,0,12,0,0
01516,GIPPSLAND GRAMMAR,I,SALE,100,100,55,53,38,0,7,2,0,0
01848,GIRTON GRAMMAR SCHOOL,I,BENDIGO,111,111,68,65,26,4,1,1,0,1
01626,GISBORNE SECONDARY COLLEGE,G,GISBORNE,162,157,97,29,13,15,15,21,6,0
01205,GLADSTONE PARK SECONDARY COLLEGE,G,GLADSTONE PARK - WESTMEADOWS,193,182,137,61,8,12,6,9,4,0
01103,GLEN WAVERLEY SECONDARY COLLEGE,G,GLEN WAVERLEY - WEST,342,331,247,83,4,6,4,2,1,0
13461,GLENVALE SCHOOL,I,PLENTY - YARRAMBAT,44,44,33,0,0,12,52,36,0,0
