"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"St Monica's College",NA,"EPPING","357","53","335","-","74.3","28","4.2",2023,"St Monica's College   EPPING"
"St Patrick's College",NA,"BALLARAT","265","47","108","-","57.9","28","3.8",2023,"St Patrick's College   BALLARAT"
"St Paul's Anglican Grammar Schl",NA,"WARRAGUL","148","37","39","-","79.8","31","6.9",2023,"St Paul's Anglican Grammar Schl   WARRAGUL"
"St Peter's College",NA,"CRANBOURNE","408","63","272","< 4","67","26","1.7",2023,"St Peter's College   CRANBOURNE"
"St Thomas Aquinas College",NA,"TYNONG","23","12","5","-","58.3","27","1.9",2023,"St Thomas Aquinas College   TYNONG"
"Star of the Sea College",NA,"BRIGHTON","328","57","78","-","97.6","34","13.5",2023,"Star of the Sea College   BRIGHTON"
"Staughton College",NA,"MELTON SOUTH","190","38","139","-","34.9","23","1.4",2023,"Staughton College   MELTON SOUTH"
"Stawell Secondary College",NA,"STAWELL","59","30","91","11","42.4","23","-",2023,"Stawell Secondary College   STAWELL"
"Strathcona Baptist Girls GS",NA,"CANTERBURY","171","38","16","-","98.9","35","23.7",2023,"Strathcona Baptist Girls GS   CANTERBURY"
"Strathmore Secondary College",NA,"STRATHMORE","444","45","34","-","86.7","30","6.9",2023,"Strathmore Secondary College   STRATHMORE"
"Sunbury College",NA,"SUNBURY","223","50","176","-","50.4","27","1.3",2023,"Sunbury College   SUNBURY"
"Sunbury Downs Sec College",NA,"SUNBURY","83","29","69","< 4","71.2","29","4.2",2023,"Sunbury Downs Sec College   SUNBURY"
"Sunraysia Institute of TAFE","*","MILDURA","10","11","23","-","-","-","-",2023,"Sunraysia Institute of TAFE   MILDURA"
"Sunshine College",NA,"SUNSHINE WEST","246","44","181","< 4","69.8","25","1",2023,"Sunshine College   SUNSHINE WEST"
"Surf Coast Sec College",NA,"TORQUAY","206","57","220","< 4","50","29","3.9",2023,"Surf Coast Sec College   TORQUAY"
"Suzanne Cory High School",NA,"WERRIBEE","452","36","< 4","-","99.1","35","19",2023,"Suzanne Cory High School   WERRIBEE"
"Swan Hill College",NA,"SWAN HILL","142","32","175","4","46.7","28","3.5",2023,"Swan Hill College   SWAN HILL"
"Swifts Creek P-12 School","*","SWIFTS CREEK","13","15","8","< 4","71.400000000000006","31","4",2023,"Swifts Creek P-12 School   SWIFTS CREEK"
"Swinburne Senior Sec College",NA,"HAWTHORN","270","61","88","< 4","63.6","27","3.2",2023,"Swinburne Senior Sec College   HAWTHORN"
"Swinburne Uni of Tech - TAFE",NA,"CROYDON","31","12","48","-","3.8","-","-",2023,"Swinburne Uni of Tech - TAFE   CROYDON"
"Sydney Road Community School","*","BRUNSWICK","16","17","13","< 4","27.3","I/D","I/D",2023,"Sydney Road Community School   BRUNSWICK"
"TAFE Gippsland",NA,"SALE","30","17","39","-","6.7","26","-",2023,"TAFE Gippsland   SALE"
"Tallangatta Secondary College",NA,"TALLANGATTA","44","25","59","-","35.299999999999997","26","0.9",2023,"Tallangatta Secondary College   TALLANGATTA"
"Tarneit Senior College",NA,"TARNEIT","382","52","171","25","64.2","23","0.7",2023,"Tarneit Senior College   TARNEIT"
"Taylors Lakes Sec College",NA,"TAYLORS LAKES","295","51","155","-","70.400000000000006","27","4.2",2023,"Taylors Lakes Sec College   TAYLORS LAKES"
"Templestowe College",NA,"TEMPLESTOWE LOWER","364","66","149","-","53.3","29","4",2023,"Templestowe College   TEMPLESTOWE LOWER"
"Terang College Sec Campus","*","TERANG","18","14","19","< 4","50","30","6.3",2023,"Terang College Sec Campus   TERANG"
"The Bendigo Kangan Institute",NA,"BROADMEADOWS","56","16","180","-","38.6","-","-",2023,"The Bendigo Kangan Institute   BROADMEADOWS"
"The David Scott School",NA,"FRANKSTON","33","5","96","20","3.8","-","-",2023,"The David Scott School   FRANKSTON"
"The Geelong College",NA,"NEWTOWN","246","45","28","-","89.5","33","13.4",2023,"The Geelong College   NEWTOWN"
"The Grange P-12 College",NA,"HOPPERS CROSSING","180","37","202","7","59.7","25","1.7",2023,"The Grange P-12 College   HOPPERS CROSSING"
"The Hamilton & Alexandra Coll",NA,"HAMILTON","97","33","54","-","81.599999999999994","30","4.8",2023,"The Hamilton & Alexandra Coll   HAMILTON"
"The King David School",NA,"ARMADALE","125","45","97","-","91.9","36","26.5",2023,"The King David School   ARMADALE"
"The Knox School",NA,"WANTIRNA SOUTH","93","30","< 4","-","94.1","33","11.7",2023,"The Knox School   WANTIRNA SOUTH"
"The Lakes South Morang College",NA,"SOUTH MORANG","38","20","36","-","41.4","24","1.9",2023,"The Lakes South Morang College   SOUTH MORANG"
"Thomas Carr College",NA,"TARNEIT","213","47","57","< 4","87.1","26","1.4",2023,"Thomas Carr College   TARNEIT"
"Thomastown Secondary College",NA,"THOMASTOWN","95","31","21","-","68.3","25","1",2023,"Thomastown Secondary College   THOMASTOWN"
"Thornbury High School",NA,"THORNBURY","240","49","93","-","73.900000000000006","31","8.1",2023,"Thornbury High School   THORNBURY"
"Timboon P-12 School",NA,"TIMBOON","36","32","39","-","53.8","28","1.1000000000000001",2023,"Timboon P-12 School   TIMBOON"
"Tintern Grammar",NA,"RINGWOOD EAST","140","41","27","-","91.7","33","16.2",2023,"Tintern Grammar   RINGWOOD EAST"
"Toorak College",NA,"MOUNT ELIZA","168","32","9","-","94.3","34","15.6",2023,"Toorak College   MOUNT ELIZA"
"Trafalgar High School",NA,"TRAFALGAR","171","39","70","< 4","58","27","7",2023,"Trafalgar High School   TRAFALGAR"
"Traralgon College",NA,"TRARALGON","129","35","99","-","34.5","25","0.5",2023,"Traralgon College   TRARALGON"
"Trinity College Colac",NA,"COLAC","152","48","101","-","48.9","28","3.9",2023,"Trinity College Colac   COLAC"
"Trinity Grammar School",NA,"KEW","286","47","44","-","97.1","35","25.7",2023,"Trinity Grammar School   KEW"
"Trinity Lutheran College",NA,"MILDURA","-","-","9","-","-","-","-",2023,"Trinity Lutheran College   MILDURA"
"Tyrrell College",NA,"SEA LAKE","24","15","38","-","100","25","-",2023,"Tyrrell College   SEA LAKE"
"University High School",NA,"PARKVILLE","515","61","48","-","91","31","13.6",2023,"University High School   PARKVILLE"
"Upper Yarra Secondary College",NA,"YARRA JUNCTION","121","48","100","-","59.7","25","3.1",2023,"Upper Yarra Secondary College   YARRA JUNCTION"
"Upwey High School",NA,"UPWEY","152","50","111","-","56.4","27","1.5",2023,"Upwey High School   UPWEY"
"Vermont Secondary College",NA,"VERMONT","434","71","68","-","86.2","32","9.9",2023,"Vermont Secondary College   VERMONT"
"Victoria University Polytechnic",NA,"FOOTSCRAY","21","11","22","-","6.7","-","-",2023,"Victoria University Polytechnic   FOOTSCRAY"
"Victoria University SC",NA,"CAIRNLEA","154","46","125","5","75.900000000000006","29","5.9",2023,"Victoria University SC   CAIRNLEA"
"Victorian College for the Deaf","*","MELBOURNE","5","1","6","4","-","24","-",2023,"Victorian College for the Deaf   MELBOURNE"
"Victorian College of the Arts",NA,"SOUTHBANK","176","26","30","-","60.5","31","13.2",2023,"Victorian College of the Arts   SOUTHBANK"
"Victory Christian College",NA,"STRATHDALE","74","34","46","-","67.7","28","2.7",2023,"Victory Christian College   STRATHDALE"
"Victory Lutheran College",NA,"WEST WODONGA","99","36","79","-","59.1","28","4",2023,"Victory Lutheran College   WEST WODONGA"
"Viewbank College",NA,"VIEWBANK","297","57","68","-","75.400000000000006","31","8.1",2023,"Viewbank College   VIEWBANK"
"Village High School",NA,"RYANSTON","-","-","5","-","-","-","-",2023,"Village High School   RYANSTON"
"Virtual School Victoria",NA,"THORNBURY","517","67","67","-","35.200000000000003","26","3",2023,"Virtual School Victoria   THORNBURY"
"Wallan Secondary College",NA,"WALLAN","77","39","83","-","31.8","21","1.8",2023,"Wallan Secondary College   WALLAN"
"Wangaratta High School",NA,"WANGARATTA","78","35","69","7","56.8","28","3",2023,"Wangaratta High School   WANGARATTA"
"Wantirna College",NA,"WANTIRNA","261","70","178","-","57.9","29","3.8",2023,"Wantirna College   WANTIRNA"
"Warracknabeal Sec College",NA,"WARRACKNABEAL","48","22","28","< 4","25","26","7.5",2023,"Warracknabeal Sec College   WARRACKNABEAL"
"Warragul Regional College",NA,"WARRAGUL","120","45","99","< 4","41.5","25","2.2999999999999998",2023,"Warragul Regional College   WARRAGUL"
"Warrandyte High School",NA,"WARRANDYTE","83","27","45","-","50","24","0.5",2023,"Warrandyte High School   WARRANDYTE"
"Warrnambool College",NA,"WARRNAMBOOL","245","57","164","10","50.3","28","2.2000000000000002",2023,"Warrnambool College   WARRNAMBOOL"
"Waverley Christian College",NA,"WANTIRNA SOUTH","208","47","55","-","93.2","33","11.4",2023,"Waverley Christian College   WANTIRNA SOUTH"
"Waverley Christian College",NA,"NARRE WARREN SOUTH","122","41","31","-","90.3","32","7.5",2023,"Waverley Christian College   NARRE WARREN SOUTH"
"Wedderburn College","*","WEDDERBURN","15","17","19","-","71.400000000000006","28","-",2023,"Wedderburn College   WEDDERBURN"
"Wellington Secondary College",NA,"MULGRAVE","367","65","95","-","77.099999999999994","28","4.7",2023,"Wellington Secondary College   MULGRAVE"
"Werribee Secondary College",NA,"WERRIBEE","325","59","144","12","87.5","28","5.0999999999999996",2023,"Werribee Secondary College   WERRIBEE"
"Wesley College",NA,"MELBOURNE","190","40","27","-","97.7","31","5.4",2023,"Wesley College   MELBOURNE"
"Wesley College",NA,"GLEN WAVERLEY","157","33","11","-","93.6","31","7.2",2023,"Wesley College   GLEN WAVERLEY"
"Westall Secondary College",NA,"CLAYTON SOUTH","157","41","92","4","62.8","27","2.9",2023,"Westall Secondary College   CLAYTON SOUTH"
"Westbourne Grammar School",NA,"TRUGANINA","210","38","< 4","-","95.7","33","13.6",2023,"Westbourne Grammar School   TRUGANINA"
"Western Heights Sec College",NA,"HAMLYN HEIGHTS","110","41","91","-","37.9","22","-",2023,"Western Heights Sec College   HAMLYN HEIGHTS"
"Western Port Sec College",NA,"HASTINGS","90","41","94","-","52.7","25","1.4",2023,"Western Port Sec College   HASTINGS"
"Wheelers Hill Sec College",NA,"WHEELERS HILL","130","47","76","-","67.3","26","2.1",2023,"Wheelers Hill Sec College   WHEELERS HILL"
"Whitefriars College",NA,"DONVALE","262","47","111","-","73.900000000000006","32","10",2023,"Whitefriars College   DONVALE"
"Whittlesea Secondary College",NA,"WHITTLESEA","132","36","131","6","78.2","22","1.4",2023,"Whittlesea Secondary College   WHITTLESEA"
"William Ruthven Sec College",NA,"RESERVOIR","44","30","39","14","88.5","27","1.1000000000000001",2023,"William Ruthven Sec College   RESERVOIR"
"Williamstown High School",NA,"WILLIAMSTOWN","376","74","139","-","72.2","32","12",2023,"Williamstown High School   WILLIAMSTOWN"
"Wodonga Senior Sec College",NA,"WODONGA","345","60","703","51","35.799999999999997","23","1.3",2023,"Wodonga Senior Sec College   WODONGA"
"Woodleigh School",NA,"LANGWARRIN SOUTH","138","41","16","-","87.8","30","4.5999999999999996",2023,"Woodleigh School   LANGWARRIN SOUTH"
"Woodmans Hill Secondary College",NA,"BALLARAT EAST","65","35","71","-","38.1","29","9.3000000000000007",2023,"Woodmans Hill Secondary College   BALLARAT EAST"
"Wycheproof P-12 College",NA,"WYCHEPROOF","24","24","17","< 4","50","29","6.5",2023,"Wycheproof P-12 College   WYCHEPROOF"
"Wyndham Central Sec Coll",NA,"WERRIBEE","216","49","96","< 4","64.2","24","2.2000000000000002",2023,"Wyndham Central Sec Coll   WERRIBEE"
"Wyndham Comm & Educ Centre","*","WERRIBEE","6","4","10","< 4","20","-","-",2023,"Wyndham Comm & Educ Centre   WERRIBEE"
"Xavier College",NA,"KEW","400","48","41","-","96.8","33","15.7",2023,"Xavier College   KEW"
"Yarra Hills Sec Coll Mt Evelyn","*","MOUNT EVELYN","14","10","30","-","-","-","-",2023,"Yarra Hills Sec Coll Mt Evelyn   MOUNT EVELYN"
"Yarra Hills Sec Coll Mooroolbark",NA,"MOOROOLBARK","129","51","108","-","46","23","-",2023,"Yarra Hills Sec Coll Mooroolbark   MOOROOLBARK"
"Yarra Valley Grammar School",NA,"RINGWOOD","327","43","12","-","90.5","35","22.3",2023,"Yarra Valley Grammar School   RINGWOOD"
"Yarram Secondary College",NA,"YARRAM","82","41","68","-","37.5","26","2.8",2023,"Yarram Secondary College   YARRAM"
"Yarrawonga College P-12",NA,"YARRAWONGA","89","30","65","< 4","43.2","26","3.7",2023,"Yarrawonga College P-12   YARRAWONGA"
"Yea High School",NA,"YEA","73","33","42","-","32.4","25","-",2023,"Yea High School   YEA"
"Yeshivah College",NA,"ST KILDA EAST","63","14","49","-","76.900000000000006","34","17.899999999999999",2023,"Yeshivah College   ST KILDA EAST"
"Yesodei HaTorah College",NA,"ORMOND","24","11","31","-","100","37","20",2023,"Yesodei HaTorah College   ORMOND"
"Youth2Industry College",NA,"SOUTH MELBOURNE","27","17","63","-","11.8","-","-",2023,"Youth2Industry College   SOUTH MELBOURNE"
"Academy of Mary Immaculate",NA,"FITZROY","147","34","20",NA,"93.2","32","11.3",2024,"Academy of Mary Immaculate   FITZROY"
"Adass Israel School",NA,"ELSTERNWICK","36","8","49",NA,"-","-","-",2024,"Adass Israel School   ELSTERNWICK"
"Adass Israel School","*","EAST ST KILDA","19","2","39",NA,"-","-","-",2024,"Adass Israel School   EAST ST KILDA"
"Advance College of Education","*","ROSEBUD WEST","15","11","29",NA,"-","-","-",2024,"Advance College of Education   ROSEBUD WEST"
"Aitken College",NA,"GREENVALE","160","41","97",NA,"91.2","28","4.5999999999999996",2024,"Aitken College   GREENVALE"
"Al Iman College",NA,"MELTON SOUTH","32","17","-",NA,"71.400000000000006","26","0.8",2024,"Al Iman College   MELTON SOUTH"
"Al Siraat College",NA,"EPPING","106","20","118",NA,"97.9","31","6.8",2024,"Al Siraat College   EPPING"
"Al-Taqwa College",NA,"TRUGANINA","95","32","30",NA,"94.9","34","9.6999999999999993",2024,"Al-Taqwa College   TRUGANINA"
"Albert Park College",NA,"ALBERT PARK","423","61","49",NA,"84.4","31","9",2024,"Albert Park College   ALBERT PARK"
"Alexandra Secondary College",NA,"ALEXANDRA","87","19","54",NA,"51.4","24","2.6",2024,"Alexandra Secondary College   ALEXANDRA"
"Alia College",NA,"HAWTHORN EAST","22","22","< 4",NA,"37.5","24","2.1",2024,"Alia College   HAWTHORN EAST"
"Alice Miller School",NA,"MACEDON","53","26","29",NA,"76.7","32","12.2",2024,"Alice Miller School   MACEDON"
"Alkira Secondary College",NA,"CRANBOURNE NORTH","376","61","176",NA,"66.5","29","2.8",2024,"Alkira Secondary College   CRANBOURNE NORTH"
"Alphington Grammar School",NA,"ALPHINGTON","77","21","-",NA,"100","30","12.4",2024,"Alphington Grammar School   ALPHINGTON"
"Altona College",NA,"ALTONA","58","31","46",NA,"40.6","26","3.9",2024,"Altona College   ALTONA"
"Antonine College",NA,"PASCOE VALE SOUTH","102","25","72",NA,"74.599999999999994","26","3.3",2024,"Antonine College   PASCOE VALE SOUTH"
"Apollo Bay P-12 College",NA,"APOLLO BAY","44","26","30",NA,"63.6","30","10.7",2024,"Apollo Bay P-12 College   APOLLO BAY"
"Aquinas College",NA,"RINGWOOD","383","80","183",NA,"76.400000000000006","29","5.0999999999999996",2024,"Aquinas College   RINGWOOD"
"Ararat Secondary College",NA,"ARARAT","65","28","47",NA,"29.6","26","1.2",2024,"Ararat Secondary College   ARARAT"
"Armstrong Creek School","*","ARMSTRONG CREEK","6","1","6",NA,"-","-","-",2024,"Armstrong Creek School   ARMSTRONG CREEK"
"Ashwood High School",NA,"ASHWOOD","165","47","44",NA,"72","31","8.1",2024,"Ashwood High School   ASHWOOD"
"Assumption College",NA,"KILMORE","310","74","237",NA,"56.9","28","2.2000000000000002",2024,"Assumption College   KILMORE"
"Auburn High School",NA,"HAWTHORN EAST","177","29","12",NA,"85.9","31","8.6",2024,"Auburn High School   HAWTHORN EAST"
"Australian Internatl Academy",NA,"COBURG","50","17","-",NA,"90.7","20","1.2",2024,"Australian Internatl Academy   COBURG"
"Australian Internatl Academy",NA,"CAROLINE SPRINGS","34","12","-",NA,"96.6","22","4",2024,"Australian Internatl Academy   CAROLINE SPRINGS"
"Ave Maria College",NA,"ABERFELDIE","173","40","71",NA,"97.7","31","10.5",2024,"Ave Maria College   ABERFELDIE"
"Avila College",NA,"MOUNT WAVERLEY","257","51","84",NA,"92.4","32","11.5",2024,"Avila College   MOUNT WAVERLEY"
"Bacchus Marsh College",NA,"BACCHUS MARSH","175","46","142",NA,"57.4","24","0.3",2024,"Bacchus Marsh College   BACCHUS MARSH"
"Bacchus Marsh Grammar",NA,"BACCHUS MARSH","469","45","76",NA,"87.9","32","13.9",2024,"Bacchus Marsh Grammar   BACCHUS MARSH"
"Baimbridge College",NA,"HAMILTON","59","28","73",NA,"30.3","26","0",2024,"Baimbridge College   HAMILTON"
"Bairnsdale Secondary College",NA,"BAIRNSDALE","176","41","202",NA,"43.9","26","1.1000000000000001",2024,"Bairnsdale Secondary College   BAIRNSDALE"
"Balcombe Grammar School",NA,"MOUNT MARTHA","171","31","21",NA,"75.7","30","5.2",2024,"Balcombe Grammar School   MOUNT MARTHA"
"Ballarat Christian College",NA,"SEBASTOPOL","36","27","40",NA,"62.5","25","0",2024,"Ballarat Christian College   SEBASTOPOL"
"Ballarat Clarendon College",NA,"BALLARAT","255","37","103",NA,"92.6","37","34.700000000000003",2024,"Ballarat Clarendon College   BALLARAT"
"Ballarat Grammar",NA,"WENDOUREE","413","55","132",NA,"80.900000000000006","32","11.7",2024,"Ballarat Grammar   WENDOUREE"
"Ballarat High School",NA,"BALLARAT","275","59","273",NA,"50","29","2.2000000000000002",2024,"Ballarat High School   BALLARAT"
"Balmoral K-12 Comm College","*","BALMORAL","4","7","8",NA,"66.7","I/D","I/D",2024,"Balmoral K-12 Comm College   BALMORAL"
"Balwyn High School",NA,"BALWYN NORTH","608","62","26",NA,"92.4","32","14.7",2024,"Balwyn High School   BALWYN NORTH"
"Bannockburn P-12 College",NA,"BANNOCKBURN","89","38","99",NA,"40.4","23","1.5",2024,"Bannockburn P-12 College   BANNOCKBURN"
"Bass Coast College",NA,"WONTHAGGI","270","58","310",NA,"53.1","28","3.6",2024,"Bass Coast College   WONTHAGGI"
"Bayside Christian College",NA,"LANGWARRIN SOUTH","84","36","45",NA,"52.9","30","3.6",2024,"Bayside Christian College   LANGWARRIN SOUTH"
"Bayside P-12 College",NA,"NEWPORT","139","41","118",NA,"58.7","28","2.2999999999999998",2024,"Bayside P-12 College   NEWPORT"
"Bayswater Secondary College",NA,"BAYSWATER","47","35","70",NA,"44.4","26","0",2024,"Bayswater Secondary College   BAYSWATER"
"Bayview College",NA,"PORTLAND","64","28","26",NA,"74.2","27","1.4",2024,"Bayview College   PORTLAND"
"Beaconhills College",NA,"BERWICK","209","34","191",NA,"83.3","31","7.9",2024,"Beaconhills College   BERWICK"
"Beaconhills College",NA,"PAKENHAM","186","46","11",NA,"70.2","29","2.8",2024,"Beaconhills College   PAKENHAM"
"Beaufort Secondary College",NA,"BEAUFORT","38","26","53",NA,"32","27","0",2024,"Beaufort Secondary College   BEAUFORT"
"Beaumaris Secondary College",NA,"BEAUMARIS","266","60","42",NA,"77.2","30","5.9",2024,"Beaumaris Secondary College   BEAUMARIS"
"Beechworth Secondary College",NA,"BEECHWORTH","50","33","37",NA,"60","28","6.5",2024,"Beechworth Secondary College   BEECHWORTH"
"Belgrave Heights Christian Schl",NA,"BELGRAVE HEIGHTS","145","46","65",NA,"77.900000000000006","29","2.4",2024,"Belgrave Heights Christian Schl   BELGRAVE HEIGHTS"
"Bellarine Secondary College",NA,"DRYSDALE","173","53","170",NA,"44.7","28","4.9000000000000004",2024,"Bellarine Secondary College   DRYSDALE"
"Belmont High School",NA,"BELMONT","277","58","208",NA,"54.7","29","4.5",2024,"Belmont High School   BELMONT"
"Benalla P-12 College",NA,"BENALLA","70","28","86",NA,"41.3","24","0.8",2024,"Benalla P-12 College   BENALLA"
"Bendigo Senior Sec College",NA,"BENDIGO","1114","86","741",NA,"41.9","27","4.5999999999999996",2024,"Bendigo Senior Sec College   BENDIGO"
"Bendigo TAFE",NA,"BENDIGO","22","7","70",NA,"-","-","-",2024,"Bendigo TAFE   BENDIGO"
"Bentleigh Secondary College",NA,"BENTLEIGH EAST","253","73","116",NA,"64.099999999999994","30","5.6",2024,"Bentleigh Secondary College   BENTLEIGH EAST"
"Berwick Grammar School",NA,"OFFICER","39","27","< 4",NA,"89.5","31","9.1999999999999993",2024,"Berwick Grammar School   OFFICER"
"Berwick Secondary College",NA,"BERWICK","334","49","136",NA,"61","29","2.6",2024,"Berwick Secondary College   BERWICK"
"Beth Rivkah Ladies College",NA,"ST KILDA EAST","61","18","61",NA,"61.3","35","23.5",2024,"Beth Rivkah Ladies College   ST KILDA EAST"
"Bialik College",NA,"HAWTHORN","171","37","98",NA,"98.8","36","29.7",2024,"Bialik College   HAWTHORN"
"Billanook College",NA,"MOOROOLBARK","181","44","53",NA,"93.1","31","7",2024,"Billanook College   MOOROOLBARK"
"Bindjiroo Yaluk Community School","*","RICHMOND","12","12","15",NA,"-","-","-",2024,"Bindjiroo Yaluk Community School   RICHMOND"
"Birchip P-12 School",NA,"BIRCHIP","39","23","29",NA,"52.6","31","10.4",2024,"Birchip P-12 School   BIRCHIP"
"Blackburn High School",NA,"BLACKBURN","284","67","87",NA,"78.2","31","8.1",2024,"Blackburn High School   BLACKBURN"
"Boort District P-12 School",NA,"BOORT","45","30","24",NA,"69.599999999999994","30","6.2",2024,"Boort District P-12 School   BOORT"
"Boronia K-12 College",NA,"BORONIA","54","30","44",NA,"65.8","27","0.8",2024,"Boronia K-12 College   BORONIA"
"Box Hill High School",NA,"BOX HILL","406","53","57",NA,"89.4","32","11.8",2024,"Box Hill High School   BOX HILL"
"Box Hill Institute",NA,"BOX HILL","101","18","101",NA,"1.6","-","-",2024,"Box Hill Institute   BOX HILL"
"Box Hill Institute - CAE campus",NA,"MELBOURNE","107","20","< 4",NA,"46.5","27","3.1",2024,"Box Hill Institute - CAE campus   MELBOURNE"
"Box Hill Senior Sec College",NA,"MONT ALBERT NORTH","105","42","73",NA,"46.4","28","0.7",2024,"Box Hill Senior Sec College   MONT ALBERT NORTH"
"Braemar College",NA,"WOODEND","204","46","50",NA,"82.9","32","7.2",2024,"Braemar College   WOODEND"
"Brauer College",NA,"WARRNAMBOOL","205","41","162",NA,"43","28","3.7",2024,"Brauer College   WARRNAMBOOL"
"Braybrook College",NA,"BRAYBROOK","296","42","323",NA,"83.4","31","8.1",2024,"Braybrook College   BRAYBROOK"
"Brentwood Secondary College",NA,"GLEN WAVERLEY","436","74","107",NA,"82.6","30","5.9",2024,"Brentwood Secondary College   GLEN WAVERLEY"
"Bright P-12 College",NA,"BRIGHT","60","31","49",NA,"43.8","29","5.0999999999999996",2024,"Bright P-12 College   BRIGHT"
"Brighton Grammar School",NA,"BRIGHTON","286","38","15",NA,"93.3","35","24.3",2024,"Brighton Grammar School   BRIGHTON"
"Brighton Secondary College",NA,"BRIGHTON EAST","241","58","59",NA,"85.2","30","6.3",2024,"Brighton Secondary College   BRIGHTON EAST"
"Broadford Secondary College",NA,"BROADFORD","132","53","107",NA,"54.4","22","0.7",2024,"Broadford Secondary College   BROADFORD"
"Brunswick Secondary College",NA,"BRUNSWICK","229","52","79",NA,"76.8","30","8.8000000000000007",2024,"Brunswick Secondary College   BRUNSWICK"
"Buckley Park College",NA,"ESSENDON","197","50","49",NA,"82.5","29","5.7",2024,"Buckley Park College   ESSENDON"
"Bundoora Secondary College",NA,"BUNDOORA","114","41","112",NA,"40.6","26","1.7",2024,"Bundoora Secondary College   BUNDOORA"
"Camberwell Anglican Girls GS",NA,"CANTERBURY","185","41","13",NA,"100","36","25.2",2024,"Camberwell Anglican Girls GS   CANTERBURY"
"Camberwell Grammar School",NA,"CANTERBURY","331","36","75",NA,"98.8","34","21.3",2024,"Camberwell Grammar School   CANTERBURY"
"Camberwell High School",NA,"CANTERBURY","238","55","37",NA,"81.599999999999994","30","8.5",2024,"Camberwell High School   CANTERBURY"
"Camperdown College",NA,"CAMPERDOWN","36","18","28",NA,"56.3","28","0",2024,"Camperdown College   CAMPERDOWN"
"Cann River P-12 College","*","CANN RIVER","5","9","6",NA,"100","24","0",2024,"Cann River P-12 College   CANN RIVER"
"Canterbury Girls Sec College",NA,"CANTERBURY","230","47","15",NA,"84.8","32","11.7",2024,"Canterbury Girls Sec College   CANTERBURY"
"Carey Baptist Grammar School",NA,"KEW","327","50","32",NA,"91.8","33","11.8",2024,"Carey Baptist Grammar School   KEW"
"Caroline Chisholm Catholic Coll",NA,"BRAYBROOK","308","67","244",NA,"77.900000000000006","31","5.5",2024,"Caroline Chisholm Catholic Coll   BRAYBROOK"
"Carrum Downs Sec College",NA,"CARRUM DOWNS","162","43","147",NA,"32.1","25","0.8",2024,"Carrum Downs Sec College   CARRUM DOWNS"
"Carwatha College P-12",NA,"NOBLE PARK NORTH","128","44","54",NA,"64.900000000000006","27","0.5",2024,"Carwatha College P-12   NOBLE PARK NORTH"
"Casey Grammar School",NA,"CRANBOURNE","175","37","31",NA,"86.5","30","6.2",2024,"Casey Grammar School   CRANBOURNE"
"Casterton Secondary College","*","CASTERTON","10","19","14",NA,"55.6","28","0",2024,"Casterton Secondary College   CASTERTON"
"Castlemaine Secondary College",NA,"CASTLEMAINE","154","48","114",NA,"45.7","26","2.1",2024,"Castlemaine Secondary College   CASTLEMAINE"
"Cathedral College",NA,"WANGARATTA","137","48","116",NA,"64","29","4.5",2024,"Cathedral College   WANGARATTA"
"Catherine McAuley College",NA,"BENDIGO","353","50","269",NA,"72","28","5.3",2024,"Catherine McAuley College   BENDIGO"
"Catholic College Sale",NA,"SALE","227","34","194",NA,"58.1","29","7",2024,"Catholic College Sale   SALE"
"Catholic College Wodonga",NA,"WODONGA","253","45","178",NA,"63.5","28","3.8",2024,"Catholic College Wodonga   WODONGA"
"Catholic Ladies College",NA,"ELTHAM","207","52","114",NA,"92","32","11",2024,"Catholic Ladies College   ELTHAM"
"Catholic Regional College","*","CAROLINE SPRINGS","17","4","50",NA,"-","-","-",2024,"Catholic Regional College   CAROLINE SPRINGS"
"Catholic Regional College","*","KEILOR NORTH","12","4","27",NA,"-","-","-",2024,"Catholic Regional College   KEILOR NORTH"
"Catholic Regional College","*","ST ALBANS","< 4","2","5",NA,"I/D","I/D","I/D",2024,"Catholic Regional College   ST ALBANS"
"Catholic Regional College",NA,"SYDENHAM","711","77","487",NA,"75.3","28","2.7",2024,"Catholic Regional College   SYDENHAM"
"Caulfield Grammar School",NA,"WHEELERS HILL","307","49","205",NA,"95.8","33","17.2",2024,"Caulfield Grammar School   WHEELERS HILL"
"Caulfield Grammar School",NA,"ST KILDA EAST","446","52","291",NA,"96.2","34","21.7",2024,"Caulfield Grammar School   ST KILDA EAST"
"Chaffey Secondary College","*","MILDURA","< 4","1","10",NA,"I/D","I/D","I/D",2024,"Chaffey Secondary College   MILDURA"
"Chairo Christian School",NA,"DROUIN","80","39","29",NA,"65.099999999999994","31","4.8",2024,"Chairo Christian School   DROUIN"
"Chairo Christian School","*","LEONGATHA","10","4","10",NA,"-","I/D","I/D",2024,"Chairo Christian School   LEONGATHA"
"Chairo Christian School",NA,"NAR NAR GOON","94","36","26",NA,"69.2","28","4.8",2024,"Chairo Christian School   NAR NAR GOON"
"Charles La Trobe P-12 College",NA,"PRESTON","42","9","88",NA,"17.899999999999999","-","-",2024,"Charles La Trobe P-12 College   PRESTON"
